Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
0.649593	0.633422	0.007184	0.109307	98.500000	0.133371	97.361111	
0.535300	0.503775	0.004302	0.063614	99.000000	0.076623	98.194444	
0.498441	0.461328	0.002991	0.050851	99.250000	0.063447	98.527778	
0.508173	0.464954	0.002482	0.050012	99.250000	0.061860	98.500000	
0.504279	0.456549	0.002128	0.036169	99.750000	0.055272	98.583333	
0.499858	0.450013	0.001816	0.037163	98.750000	0.049211	98.611111	
0.505361	0.449596	0.001717	0.032470	99.000000	0.048541	98.583333	
0.507199	0.445833	0.001637	0.036366	99.000000	0.048261	98.611111	
0.517792	0.452497	0.001539	0.028257	99.250000	0.042809	98.666667	
0.519600	0.448765	0.001491	0.023408	99.500000	0.046887	98.638889	
0.513303	0.440734	0.001382	0.017936	99.750000	0.046946	98.638889	
0.528247	0.446846	0.001417	0.017495	99.250000	0.040053	98.833333	
0.544692	0.450390	0.001509	0.019442	99.250000	0.045220	98.694444	
0.556762	0.456264	0.001488	0.023799	99.250000	0.044593	98.555556	
0.551154	0.447440	0.001432	0.019082	99.500000	0.038554	98.722222	
